gpu,wm,policy,train_step,eval_step,final_score,peak_step,peak_score,action_time,update_time,steps_per_second,eval_time_mean_s,eval_time_last_s,elapsed_time_hours,name
h100-r1,mlp,flow,9600000,9600000,0.5330902128294109,4000000,0.5882528532668948,0.05981007590889931,0.04562254995107651,1320.6807354083417,87.0647680129645,77.39524531364441,2.019160721566942,subset20-10m-h100-r1_wm-mlp_pi-flow_seed-1
h100-r1,mlp,gaussian,10000000,10000000,0.5381618663808331,8800000,0.5910193881392478,0.03464566171169281,0.03753902390599251,988.3814175902899,61.728636656167374,59.33064937591553,2.8104310019810996,subset20-10m-h100-r1_wm-mlp_pi-gaussian_seed-1
h100-r1,residual_flow,gaussian,7520000,7400000,0.4668171755596996,6000000,0.5106531937606633,0.07697753608226776,0.05346674472093582,1788.15033785989,102.89851086314131,94.73120951652527,1.1681841535700692,subset20-10m-h100-r1_wm-residual_flow_pi-gaussian_seed-1
h100-r1,residual_mean_flow_wm,gaussian,10000000,10000000,0.4885096835624426,9200000,0.49206869482994076,0.04857104271650314,0.048109788447618484,1623.4233775247817,71.80012503495583,70.60677027702332,1.711061831580268,subset20-10m-h100-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1
