wm,policy,n,final_mean,final_std,peak_max,peak_mean,action_time_mean,update_time_mean,sps_mean,est_hours_to_10m,best_run
mlp,flow,4,0.5287212455354166,0.061211949579412395,0.6092833743616939,0.583870115610771,0.08323849365115166,0.05360712669789791,874.2187787844304,3.1774400701391676,subset20-10m-a100-r1_wm-mlp_pi-flow_seed-1
mlp,gaussian,4,0.5098075898652314,0.03163477551714641,0.5910193881392478,0.5609920787857845,0.04940449632704258,0.04349733702838421,803.0401005234783,3.459077293857462,subset20-10m-h100-r1_wm-mlp_pi-gaussian_seed-1
residual_flow,gaussian,4,0.43887932638666827,0.007786586016205264,0.5106531937606633,0.475279719819082,0.11403381079435349,0.07508081663399935,573.8103815698507,4.840933289108913,subset20-10m-h100-r1_wm-residual_flow_pi-gaussian_seed-1
residual_mean_flow_wm,gaussian,4,0.44297743995673955,0.04083881298335857,0.49206869482994076,0.46338996699952983,0.06846010964363813,0.05230422969907522,869.3210202687213,3.1953417817035197,subset20-10m-h100-r1_wm-residual_mean_flow_wm_pi-gaussian_seed-1
