flow_steps,wm,policy,n,final_mean,final_std,peak_max,action_time_mean,update_time_mean,sps_mean,best_run
1,flow,gaussian,4,0.10610986032446817,0.013178944077450782,0.15491143783499864,0.11071392241865396,0.0993279330432415,139.67439569908106,subset40-flowsteps1-h200-r1_wm-flow_pi-gaussian_seed-1
2,flow,gaussian,4,0.09431831766487449,0.011345988635021906,0.161258950997144,0.14103063009679317,0.10329046659171581,126.98651204127422,subset40-flowsteps2-h200-r1_wm-flow_pi-gaussian_seed-1
4,flow,gaussian,4,0.10260756244912046,0.012596254142063602,0.15161760549410247,0.20170587860047817,0.11481902562081814,107.72058842474644,subset40-flowsteps4-h100_wm-flow_pi-gaussian_seed-1
